"AcceptedSenders","AllowExternalSenders","AppRoleAssignments","AssignedLabels","AssignedLicenses","AutoSubscribeNewMembers","Calendar","CalendarView","Classification","Conversations","CreatedDateTime","CreatedOnBehalfOf","DeletedDateTime","Description","DisplayName","Drive","Drives","Events","ExpirationDateTime","Extensions","GroupLifecyclePolicies","GroupTypes","HasMembersWithLicenseErrors","HideFromAddressLists","HideFromOutlookClients","Id","IsArchived","IsAssignableToRole","IsManagementRestricted","IsSubscribedByMail","LicenseProcessingState","Mail","MailEnabled","MailNickname","MemberOf","Members","MembersWithLicenseErrors","MembershipRule","MembershipRuleProcessingState","OnPremisesDomainName","OnPremisesLastSyncDateTime","OnPremisesNetBiosName","OnPremisesProvisioningErrors","OnPremisesSamAccountName","OnPremisesSecurityIdentifier","OnPremisesSyncBehavior","OnPremisesSyncEnabled","Onenote","Owners","PermissionGrants","Photo","Photos","Planner","PreferredDataLocation","PreferredLanguage","ProxyAddresses","RejectedSenders","RenewedDateTime","ResourceBehaviorOptions","ResourceProvisioningOptions","SecurityEnabled","SecurityIdentifier","ServiceProvisioningErrors","Settings","Sites","Team","Theme","Threads","TransitiveMemberOf","TransitiveMembers","UniqueName","UnseenCount","Visibility","WelcomeMessageEnabled","AdditionalProperties"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-HR-Users","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"057006fb-33cd-4b7d-a658-55fe7fe489e7",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 7:14:46 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-CloudM365","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"05eebf0e-2370-4f1f-9e0b-01c62b01497f",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState","GRP-CloudM365@xkdk1.onmicrosoft.com","True",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,"Private",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-Sales-Users","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"14794d36-3d1c-4b95-b56d-5177e6bfb03b",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-Finance-Computers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"163a2b64-270f-43aa-a967-e2ac9cbccbb9",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-AllEmployees","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"293bf829-d346-42ef-ae85-20b2d0f585d2",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-Finance-Users","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"33d0382e-e4e5-4d64-b17d-8a295d7ab31f",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-Sales-Computers","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"3828c4a7-a5ca-4790-98d8-e6a68e740e0f",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 7:14:13 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-CloudSecurity","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"3f5e6ebf-abc9-40c7-828d-72fac2f23a63",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"2/4/2026 6:23:31 PM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"GRP-IT-Users","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"485468e2-ae8d-4ca6-91fa-8683bd4c1d8d",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphCalendar",,,,"4/9/2026 1:27:12 AM","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDirectoryObject",,,"Risk-Test-Users","Microsoft.Graph.PowerShell.Models.MicrosoftGraphDrive",,,,,,"System.String[]",,,,"4882ca6d-0bc3-461f-ba45-3486ab043b92",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphLicenseProcessingState",,"False",,,,,,,,,,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnPremisesSyncBehavior",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphOnenote",,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphProfilePhoto",,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphPlannerGroup",,,,,,,,"True",,,,,"Microsoft.Graph.PowerShell.Models.MicrosoftGraphTeam",,,,,,,,,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
